開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元),投標最後一天平均成交價,撥券日開盤價,可轉債個股投標最後一天均價
2020/8/6,鈺齊五-KY,98025,櫃檯買賣,無擔保轉換公司債,美國標,"4,250",100,1,425,50,400,2020/8/17,國票,"452,831,280",0.5,648,"19,271",105.5,110.1,106.55,106.55,,113.7,104.87
2020/7/31,世紀鋼四,99584,櫃檯買賣,無擔保轉換公司債,美國標,"12,750",100,1,"1,275",50,400,2020/8/11,群益,"1,066,290,440",0.5,426,"10,544",100,110,101.13,100,,104.9,92.03
2020/6/15,東典光電,6588,櫃檯買賣,初上櫃,美國標,"2,330",57.63,1,311,50,400,2020/7/1,元富,"244,385,270",4.5,"4,631","32,320",101.6,124,104.89,68,121.6,155,
2020/5/28,豐藝三,61893,櫃檯買賣,無擔保轉換公司債,美國標,"8,500",101,1,850,50,400,2020/6/8,群益,"388,726,950",0.5,192,"3,740",101,498,103.94,101,,104.4,34.47
2020/5/26,ABC-KY,6598,集中交易市場,第一上市初上市,美國標,"6,516",40,1,824,50,400,2020/6/9,永豐金,"587,776,660",5,"3,896","29,322",80.5,550,90.21,48,,105,
2020/5/25,昇佳電子,6732,櫃檯買賣,初上櫃,美國標,"2,546",415,1,328,50,400,2020/6/8,兆豐,"1,624,912,870",5,"4,306","15,903",628.01,683,638.22,498,702.06,730,
2020/5/11,新唐一,49191,櫃檯買賣,無擔保轉換公司債,美國標,"18,000",100,1,"1,800",50,400,2020/5/20,中國信託,"540,953,740",0.5,473,"5,361",100,110,100.91,100,,97,38.96
2020/5/6,永固-KY,5546,集中交易市場,第一上市初上市,美國標,"6,227",45,1,895,50,400,2020/5/20,康和,"370,055,600",4.7,"1,564","23,781",55.58,88.9,59.43,58.5,,60.5,
2020/5/4,三竹,8284,櫃檯買賣,初上櫃,美國標,"3,708",37.5,1,493,50,400,2020/5/18,兆豐,"222,824,840",5,"3,192","46,876",58.88,61.5,60.09,45,65.49,66,
2020/4/20,撼訊四,61504,櫃檯買賣,無擔保轉換公司債,美國標,"3,550",100,1,355,50,400,2020/4/29,宏遠,"379,239,070",0.5,221,"4,439",102.22,117.33,106.83,106.83,,,43.09
2020/3/30,州巧,3543,集中交易市場,初上市,美國標,"7,204",12,1,900,50,400,2020/4/15,福邦,"109,985,470",4.5,450,"24,104",14.5,18,15.27,15,17.85,17.8,
2020/3/13,應廣,6716,櫃檯買賣,初上櫃,美國標,"1,368",32.56,1,179,50,400,2020/3/27,兆豐,"65,666,780",5,955,"12,404",46.7,54.6,48,42,54.47,49.5,
2020/2/26,劍麟二,22282,櫃檯買賣,無擔保轉換公司債,美國標,"2,550",100,1,255,50,400,2020/3/9,元大,"270,260,630",0.5,416,"11,327",104.5,110,105.98,105.98,,106,94.6
2020/2/21,山富,2743,櫃檯買賣,初上櫃,美國標,"2,584",10,1,347,50,400,2020/3/9,福邦,"38,253,040",4.5,918,"26,822",14.1,20,14.8,12.5,17.28,13.05,
2020/2/21,光隆精密-KY,4581,集中交易市場,第一上市初上市,美國標,"2,713",32.11,1,349,50,400,2020/3/9,日盛,"121,209,460",5,"1,025","16,692",41.1,65,44.68,35,,42.15,
2020/2/21,映興電子,3597,櫃檯買賣,初上櫃,美國標,"2,812",12.8,1,386,50,400,2020/3/9,華南,"47,739,700",4.5,839,"17,852",16.31,22,16.98,15.49,19.61,17,
2020/2/19,杏一二,41752,櫃檯買賣,無擔保轉換公司債,美國標,"2,550",102,1,255,50,400,2020/3/2,國泰,"264,225,240",0.5,190,"4,108",102.65,110,103.62,103.62,,103.05,73.04
2020/2/18,冠西電三,24663,櫃檯買賣,有擔保轉換公司債,美國標,"2,660",102,1,266,50,400,2020/2/27,中國信託,"277,980,900",0.5,481,"5,011",103.11,110,104.5,104.5,,104,34.93
2020/2/6,十銓一,49671,櫃檯買賣,有擔保轉換公司債,美國標,"4,250",102,1,425,50,400,2020/2/17,群益,"476,883,600",0.5,444,"11,307",110.7,119.6,112.21,112.21,,121.7,36.5
2020/1/9,磐儀三,35943,櫃檯買賣,無擔保轉換公司債,美國標,"2,550",100,1,255,50,400,2020/1/20,福邦,"267,389,720",0.5,241,"4,769",101.65,115.3,104.86,104.86,,103.45,24.97
2020/1/8,華友聯一,14361,櫃檯買賣,有擔保轉換公司債,美國標,"2,550",100,1,255,50,400,2020/1/17,第一金,"274,721,790",0.5,372,"7,637",106.66,120,107.73,107.73,,109.3,40.19
2020/1/6,碩天一,36171,櫃檯買賣,無擔保轉換公司債,美國標,"10,200",101.5,1,"1,020",50,400,2020/1/15,宏遠,"1,073,334,860",0.5,882,"24,587",104.1,141,105.23,105.23,,107.05,113.3
2019/12/20,捷流閥業,4580,櫃檯買賣,初上櫃,美國標,"2,409",68.42,2,346,50,400,2020/1/6,元大,"230,076,310",5,"3,148","34,552",93.8,105,95.51,78,104.42,115,
2019/12/12,東捷資訊,6697,櫃檯買賣,初上櫃,美國標,"1,369",32.77,1,196,50,400,2019/12/26,台新,"59,635,790",5,"1,275","11,247",42.5,70,43.56,42.6,49.18,50.6,
2019/12/11,安集一,64771,櫃檯買賣,無擔保轉換公司債,美國標,"2,550",100,1,255,50,400,2019/12/20,福邦,"259,066,700",0.5,187,"4,116",100.51,109.22,101.59,101.59,,101,22.54
